11:09:16:087 -> 
11:09:35:694 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:35:886 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:36:086 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:36:286 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:36:486 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:36:686 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:36:886 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:37:086 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:37:286 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:37:486 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:37:686 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:37:886 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:38:086 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:38:286 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:38:486 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
11:09:38:686 -> <          NORMAL ( 4) || TRANSMIT:  0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)>        
